sample;tokens;tags
удонн;['▁у', 'дон', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE']
стьейк;['▁', 'сть', 'ей', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
ба4лажаны;['▁ба', '4', 'ла', 'жаны'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
киселб;['▁ки', 'сел', 'б'];['B-TYPE', 'I-TYPE', 'I-TYPE']
помидок;['▁по', 'ми', 'док'];['B-TYPE', 'I-TYPE', 'I-TYPE']
йокупт;['▁й', 'о', 'куп', 'т'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
картонль;['▁картон', 'ль'];['B-TYPE', 'I-TYPE']
шампинььоны;['▁шам', 'пин', 'ь', 'ьон', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
миниралбная;['▁мини', 'рал', 'б', 'ная'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
кукуржа;['▁ку', 'кур', 'жа'];['B-TYPE', 'I-TYPE', 'I-TYPE']
конфертики с ветчиной;['▁кон', 'фер', 'тики', '▁с', '▁вет', 'чи', 'ной'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
повседневная одеж;['▁повседневн', 'ая', '▁од', 'еж'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
тарелки дюни;['▁та', 'рел', 'ки', '▁', 'дю', 'ни'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
грушу;['▁гр', 'ушу'];['B-TYPE', 'I-TYPE']
тушь;['▁туш', 'ь'];['B-TYPE', 'I-TYPE']
phibo стака;['▁phi', 'bo', '▁ста', 'ка'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
хлеб тостовый;['▁хлеб', '▁то', 'ст', 'овый'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
очиститель накип;['▁очисти', 'тель', '▁на', 'ки', 'п'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
lorado масли;['▁lo', 'rado', '▁мас', 'ли'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
хатбер степлер;['▁хат', 'бер', '▁с', 'теп', 'лер'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
самирель;['▁са', 'мир', 'ель'];['B-BRAND', 'I-BRAND', 'I-BRAND']
сардельки компур;['▁сард', 'ель', 'ки', '▁комп', 'ур'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
яблоки гольден;['▁я', 'блок', 'и', '▁го', 'ль', 'ден'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
кисло-сладки;['▁ки', 'сло', '-', 'сла', 'дки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
сарлфетки;['▁сар', 'л', 'фет', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
zeva;['▁ze', 'va'];['B-BRAND', 'I-BRAND']
тарелки, блю;['▁та', 'рел', 'ки', ',', '▁', 'блю'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
вишневый сок;['▁', 'виш', 'нев', 'ый', '▁сок'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
огурце;['▁о', 'гур', 'це'];['B-TYPE', 'I-TYPE', 'I-TYPE']
калбаса;['▁кал', 'баса'];['B-TYPE', 'I-TYPE']
груша artfruit;['▁г', 'руша', '▁art', 'fru', 'it'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
мазик;['▁ма', 'зик'];['B-BRAND', 'I-BRAND']
консервированный;['▁консерв', 'ирован', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE']
селчночка;['▁сел', 'чно', 'чка'];['B-TYPE', 'I-TYPE', 'I-TYPE']
вина виноградн;['▁вина', '▁виноград', 'н'];['B-TYPE', 'B-TYPE', 'I-TYPE']
шашлы;['▁шаш', 'лы'];['B-TYPE', 'I-TYPE']
пломбир вкус польза;['▁пло', 'м', 'бир', '▁вкус', '▁поль', 'за'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'B-BRAND', 'I-BRAND']
масло не рафинированое;['▁масло', '▁не', '▁ра', 'фини', 'рова', 'ное'];['B-TYPE', 'O', 'O', 'O', 'O', 'O']
сахарозаменители;['▁сахар', 'оза', 'мен', 'ители'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
розовый bosca;['▁роз', 'овый', '▁bosc', 'a'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
кревеьки;['▁кре', 'ве', 'ь', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
карьофель;['▁кар', 'ь', 'оф', 'ель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
плавленый;['▁плав', 'ле', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE']
срелство доя мытья посуды;['▁с', 'рел', 'ство', '▁до', 'я', '▁мы', 'ть', 'я', '▁посуд', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
кальвадо;['▁', 'каль', 'ва', 'до'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
срочно white;['▁', 'срочно', '▁white'];['O', 'O', 'B-BRAND']
podrovka;['▁pod', 'rov', 'ka'];['B-BRAND', 'I-BRAND', 'I-BRAND']
приправа для п;['▁при', 'права', '▁для', '▁п'];['B-TYPE', 'I-TYPE', 'O', 'O']
палочка pacla;['▁пал', 'очка', '▁pa', 'cla'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
ввтрушка;['▁в', 'в', 'тру', 'шка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
рассолтник;['▁рас', 'сол', 'т', 'ник'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
авокало;['▁а', 'во', 'кало'];['B-TYPE', 'I-TYPE', 'I-TYPE']
лечо огородников;['▁ле', 'чо', '▁о', 'город', 'ников'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
пончикх;['▁по', 'н', 'чик', 'х'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
картины;['▁картин', 'ы'];['B-TYPE', 'I-TYPE']
пылесосо;['▁пыл', 'ес', 'осо'];['B-TYPE', 'I-TYPE', 'I-TYPE']
dreami;['▁dream', 'i'];['B-BRAND', 'I-BRAND']
овсяннка;['▁о', 'вся', 'н', 'нка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
прочие средства;['▁прочие', '▁средства'];['B-TYPE', 'B-TYPE']
песннье;['▁пес', 'н', 'нь', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
borealis;['▁bore', 'alis'];['B-BRAND', 'I-BRAND']
вода питьевая 6л;['▁вода', '▁', 'пить', 'е', 'вая', '▁6', 'л'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME']
обувь спортивн;['▁обу', 'в', 'ь', '▁', 'спортивн'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
цнльнозерновой;['▁ц', 'н', 'льно', 'зер', 'н', 'овой'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
тхоарк;['▁т', 'хо', 'а', 'рк'];['O', 'O', 'O', 'O']
перец болгарский;['▁пере', 'ц', '▁бол', 'гар', 'ский'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
гранулах econta;['▁гра', 'нула', 'х', '▁e', 'conta'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
эпилятори;['▁эп', 'и', 'лятор', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
прочее оборудовани;['▁прочее', '▁', 'оборудован', 'и'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
calfaon;['▁cal', 'fa', 'on'];['B-BRAND', 'I-BRAND', 'I-BRAND']
патиссо;['▁па', 'тис', 'со'];['B-TYPE', 'I-TYPE', 'I-TYPE']
кортофкль;['▁кор', 'то', 'ф', 'к', 'ль'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
орешк;['▁о', 'реш', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE']
ветчина из свинины;['▁вет', 'чина', '▁из', '▁сви', 'ни', 'ны'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
фен ири;['▁фен', '▁', 'ири'];['B-TYPE', 'B-BRAND', 'I-BRAND']
juice;['▁juice'];['B-TYPE']
vicenzi трубоч;['▁vice', 'nzi', '▁труб', 'оч'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
camey;['▁came', 'y'];['B-BRAND', 'I-BRAND']
паровые очистите;['▁пар', 'овые', '▁очисти', 'те'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
хомплекты;['▁', 'хом', 'пл', 'екты'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
мороженной;['▁мор', 'ожен', 'ной'];['B-TYPE', 'I-TYPE', 'I-TYPE']
конфнренция;['▁конф', 'н', 'рен', 'ция'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
ры;['▁ры'];['O']
soko;['▁soko'];['B-BRAND']
соус доя цезаря;['▁со', 'ус', '▁до', 'я', '▁це', 'зар', 'я'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O']
крахмах;['▁кра', 'х', 'мах'];['B-TYPE', 'I-TYPE', 'I-TYPE']
бабнаны;['▁баб', 'на', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE']
взбитый;['▁вз', 'бит', 'ый'];['B-TYPE', 'I-TYPE', 'I-TYPE']
mamelle;['▁mam', 'elle'];['B-BRAND', 'I-BRAND']
овсянн5⁹;['▁о', 'вся', 'н', 'н', '59'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
черная икра;['▁чер', 'ная', '▁и', 'кра'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
кофейный напит;['▁кофе', 'й', 'ный', '▁на', 'пит'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
меди;['▁меди'];['B-TYPE']
сэндвич;['▁с', 'энд', 'ви', 'ч'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
если сулугуни;['▁если', '▁су', 'лугун', 'и'];['O', 'B-TYPE', 'I-TYPE', 'I-TYPE']
снэки;['▁с', 'нэ', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
хот-дог;['▁хот', '-', 'дог'];['B-TYPE', 'I-TYPE', 'I-TYPE']
рожки;['▁ро', 'жки'];['B-TYPE', 'I-TYPE']
сухари панировочны;['▁су', 'хар', 'и', '▁пан', 'иров', 'о', 'чны'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
клук;['▁к', 'лук'];['B-TYPE', 'I-TYPE']
мясные копченос;['▁мя', 'с', 'ные', '▁коп', 'че', 'нос'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
рыба сушёная;['▁рыб', 'а', '▁су', 'ш', 'ё', 'ная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
моркоь;['▁мор', 'ко', 'ь'];['B-TYPE', 'I-TYPE', 'I-TYPE']
филеику;['▁фил', 'е', 'ику'];['B-TYPE', 'I-TYPE', 'I-TYPE']
эергетический;['▁э', 'ерге', 'т', 'ический'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
monarh;['▁monar', 'h'];['B-BRAND', 'I-BRAND']
термостатнвй;['▁термо', 'стат', 'н', 'в', 'й'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
лвсяные;['▁лв', 'ся', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE']
индейка о;['▁', 'инде', 'йка', '▁о'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
диффузор gla;['▁ди', 'фф', 'у', 'зор', '▁gla'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
сыр ко;['▁сыр', '▁ко'];['B-TYPE', 'B-TYPE']
ржаны;['▁р', 'жаны'];['B-TYPE', 'I-TYPE']
сельжь;['▁', 'сель', 'ж', 'ь'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
бананы мини;['▁банан', 'ы', '▁мини'];['B-TYPE', 'I-TYPE', 'B-TYPE']
ликер белу;['▁ли', 'кер', '▁бел', 'у'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
сормовский;['▁', 'сор', 'м', 'овский'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
санта бремор;['▁сан', 'та', '▁бре', 'мор'];['B-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND']
кубик;['▁куб', 'ик'];['B-TYPE', 'I-TYPE']
плаьто;['▁пла', 'ь', 'то'];['B-TYPE', 'I-TYPE', 'I-TYPE']
коровино варенна;['▁кор', 'ови', 'но', '▁в', 'арен', 'на'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
fantel;['▁fan', 'tel'];['B-BRAND', 'I-BRAND']
крестьянский;['▁крестьян', 'ский'];['B-TYPE', 'I-TYPE']
сухарики с х;['▁су', 'хар', 'ики', '▁с', '▁х'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O']
семена naturfoods;['▁се', 'мена', '▁natur', 'food', 's'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
фонарик;['▁фон', 'а', 'рик'];['B-TYPE', 'I-TYPE', 'I-TYPE']
кукуружа;['▁ку', 'ку', 'ружа'];['B-TYPE', 'I-TYPE', 'I-TYPE']
диффузор lefard;['▁ди', 'фф', 'у', 'зор', '▁le', 'far', 'd'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
тимья;['▁тим', 'ья'];['B-TYPE', 'I-TYPE']
копуст;['▁коп', 'уст'];['B-TYPE', 'I-TYPE']
молоко растительное;['▁молоко', '▁раст', 'ительно', 'е'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
вареники дорони;['▁вар', 'е', 'ники', '▁до', 'рон', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
паста томат;['▁паста', '▁том', 'ат'];['B-TYPE', 'B-TYPE', 'I-TYPE']
agnesi пше;['▁ag', 'nesi', '▁п', 'ше'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
крупка гречнева;['▁круп', 'ка', '▁гре', 'чне', 'ва'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
творожный сыр от;['▁твор', 'ож', 'ный', '▁сыр', '▁от'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'O']
мясо;['▁мя', 'со'];['B-TYPE', 'I-TYPE']
мука из твё;['▁му', 'ка', '▁из', '▁т', 'в', 'ё'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
моркову;['▁мор', 'ков', 'у'];['B-TYPE', 'I-TYPE', 'I-TYPE']
torres бренд;['▁torre', 's', '▁бренд'];['B-BRAND', 'I-BRAND', 'B-TYPE']
гсзированный;['▁г', 'с', 'з', 'ирован', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
пюрешки;['▁пюре', 'шки'];['B-TYPE', 'I-TYPE']
twister;['▁twist', 'er'];['B-BRAND', 'I-BRAND']
cykoria корицей;['▁cy', 'ko', 'ria', '▁кори', 'цей'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
печеньяя;['▁пече', 'нь', 'я', 'я'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
русморс;['▁рус', 'мор', 'с'];['B-BRAND', 'I-BRAND', 'I-BRAND']
golden;['▁golden'];['B-BRAND']
фасоль⁰;['▁фа', 'соль', '0'];['B-TYPE', 'I-TYPE', 'I-TYPE']
кпуассан;['▁к', 'пу', 'ас', 'сан'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
коотлета;['▁ко', 'от', 'лета'];['B-TYPE', 'I-TYPE', 'I-TYPE']
морс greenola;['▁мор', 'с', '▁green', 'ola'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
губки для мытья посуды liberhouse;['▁губ', 'ки', '▁для', '▁мы', 'ть', 'я', '▁посуд', 'ы', '▁liber', 'house'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O', 'O', 'B-BRAND', 'I-BRAND']
яйца;['▁яйца'];['B-TYPE']
белактозное;['▁бел', 'акт', 'озно', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
вяленойрб;['▁в', 'я', 'ле', 'ной', 'рб'];['O', 'O', 'O', 'O', 'O']
oo;['▁oo'];['O']
тйогурт;['▁т', 'й', 'о', 'гурт'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
mont;['▁mont'];['B-BRAND']
полбаса;['▁пол', 'баса'];['B-TYPE', 'I-TYPE']
кофейник liberhaus;['▁кофе', 'й', 'ник', '▁liber', 'haus'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
цуккин;['▁ц', 'ук', 'кин'];['B-TYPE', 'I-TYPE', 'I-TYPE']
апельси;['▁а', 'пель', 'си'];['B-TYPE', 'I-TYPE', 'I-TYPE']
бутылк;['▁бутыл', 'к'];['B-TYPE', 'I-TYPE']
филейск;['▁фил', 'ей', 'ск'];['B-TYPE', 'I-TYPE', 'I-TYPE']
печенья мальвина;['▁пече', 'нь', 'я', '▁', 'маль', 'вина'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
сливок;['▁с', 'ливо', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE']
помнички;['▁пом', 'нички'];['B-TYPE', 'I-TYPE']
борщв;['▁бор', 'щ', 'в'];['B-TYPE', 'I-TYPE', 'I-TYPE']
соусо;['▁со', 'у', 'со'];['B-TYPE', 'I-TYPE', 'I-TYPE']
paclan тряпк;['▁pa', 'clan', '▁тр', 'я', 'п', 'к'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
горчица.;['▁гор', 'чица', '.'];['B-TYPE', 'I-TYPE', 'I-TYPE']
яйцо перепелиные;['▁', 'яй', 'цо', '▁пере', 'пе', 'ли', 'ные'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
фоянарь;['▁фо', 'яна', 'рь'];['B-TYPE', 'I-TYPE', 'I-TYPE']
краски союзмультфил;['▁кра', 'ски', '▁союз', 'м', 'уль', 'т', 'фил'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
смак круассаны;['▁смак', '▁кру', 'ас', 'сан', 'ы'];['B-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
барбарис;['▁бар', 'ба', 'рис'];['B-BRAND', 'I-BRAND', 'I-BRAND']
моолоко;['▁мо', 'оло', 'ко'];['B-TYPE', 'I-TYPE', 'I-TYPE']
лимонн;['▁лимон', 'н'];['B-TYPE', 'I-TYPE']
сухури;['▁су', 'х', 'ури'];['B-TYPE', 'I-TYPE', 'I-TYPE']
пиродки;['▁пиро', 'дки'];['B-TYPE', 'I-TYPE']
немлоко;['▁нем', 'ло', 'ко'];['B-TYPE', 'I-TYPE', 'I-TYPE']
тоамты;['▁тоа', 'м', 'ты'];['B-TYPE', 'I-TYPE', 'I-TYPE']
столичный салат;['▁столичн', 'ый', '▁салат'];['B-BRAND', 'I-BRAND', 'B-TYPE']
мясной хлеб;['▁мя', 'с', 'ной', '▁хлеб'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE']
листов;['▁листов'];['B-TYPE']
мыло доя рук;['▁мы', 'ло', '▁до', 'я', '▁рук'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
медальон из индейки;['▁медаль', 'он', '▁из', '▁', 'инде', 'йки'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O']
картоель;['▁кар', 'то', 'ель'];['B-TYPE', 'I-TYPE', 'I-TYPE']
безлаетозное;['▁без', 'ла', 'ет', 'озно', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
лаваш по дере;['▁ла', 'ваш', '▁по', '▁де', 'ре'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O']
филе трески;['▁фил', 'е', '▁тре', 'ски'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
петрушки клев;['▁пет', 'руш', 'ки', '▁к', 'лев'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND']
погремуше;['▁по', 'гр', 'ему', 'ше'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
снежок простоквашин;['▁сне', 'жок', '▁просто', 'ква', 'шин'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
cок;['▁c', 'ок'];['B-TYPE', 'I-TYPE']
прнчики;['▁пр', 'н', 'чики'];['B-TYPE', 'I-TYPE', 'I-TYPE']
плук;['▁п', 'лук'];['B-TYPE', 'I-TYPE']
калория жел;['▁кал', 'ория', '▁жел'];['B-BRAND', 'I-BRAND', 'B-TYPE']
rexona;['▁re', 'xona'];['B-BRAND', 'I-BRAND']
морозко вишня;['▁мороз', 'ко', '▁ви', 'шня'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
тетраде;['▁те', 'тра', 'де'];['B-TYPE', 'I-TYPE', 'I-TYPE']
пйонез;['▁п', 'й', 'о', 'нез'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
кыршки;['▁', 'кыр', 'шки'];['B-TYPE', 'I-TYPE', 'I-TYPE']
пальто хамильтон;['▁', 'паль', 'то', '▁хам', 'иль', 'тон'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND']
делатика сардин;['▁дела', 'тика', '▁сар', 'дин'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE']
стирального порош;['▁с', 'тир', 'ального', '▁по', 'рош'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
bsrilla;['▁b', 's', 'rilla'];['B-BRAND', 'I-BRAND', 'I-BRAND']
orance;['▁o', 'rance'];['B-BRAND', 'I-BRAND']
ет;['▁ет'];['O']
плавленый сыр ломтики;['▁плав', 'ле', 'ный', '▁сыр', '▁', 'лом', 'тики'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
econta зубочист;['▁e', 'conta', '▁зуб', 'о', 'чист'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE']
макадам;['▁мак', 'адам'];['B-TYPE', 'I-TYPE']
ряж;['▁р', 'яж'];['B-TYPE', 'I-TYPE']
протеиноввй;['▁протеин', 'ов', 'в', 'й'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
цельно зерновая мука;['▁цель', 'но', '▁зерно', 'вая', '▁му', 'ка'];['O', 'O', 'B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE']
уксуса botani;['▁у', 'кс', 'уса', '▁botani'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND']
круассаны реж-хлеб;['▁кру', 'ас', 'сан', 'ы', '▁', 'реж', '-', 'х', 'леб'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND']
суп горох;['▁суп', '▁го', 'рох'];['B-TYPE', 'B-TYPE', 'I-TYPE']
ххлебцы;['▁х', 'х', 'леб', 'цы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
можайское;['▁можа', 'й', 'ское'];['B-BRAND', 'I-BRAND', 'I-BRAND']
ияца;['▁', 'ия', 'ца'];['B-TYPE', 'I-TYPE', 'I-TYPE']
арбу;['▁ар', 'бу'];['B-TYPE', 'I-TYPE']
черничное варенье;['▁чер', 'н', 'ично', 'е', '▁вар', 'ень', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE']
чурчхела;['▁чу', 'рч', 'х', 'ела'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
сок сады придонь;['▁сок', '▁', 'сады', '▁при', 'дон', 'ь'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND', 'I-BRAND']
mirei;['▁mire', 'i'];['B-BRAND', 'I-BRAND']
крабовач;['▁кра', 'бо', 'вач'];['B-TYPE', 'I-TYPE', 'I-TYPE']
панна-;['▁пан', 'на', '-'];['B-TYPE', 'I-TYPE', 'I-TYPE']
апельсини;['▁а', 'пель', 'си', 'ни'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE']
