tokens;tags;sample
['▁том', 'лено', 'е'];['B-TYPE', 'I-TYPE', 'I-TYPE'];томленое
['▁60', '▁Г', '▁всякий', '▁so', 'kom', 'ka'];['B-VOLUME', 'I-VOLUME', 'O', 'B-TYPE', 'I-TYPE', 'I-TYPE'];60 Г всякий sokomka
['▁Тор', 'ты', '▁6', 'Ш', 'т'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];Торты 6Шт
['▁вся', '▁готова', 'я', '▁е', 'да', '▁e', '40', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];вся готовая еда e40 Г
['▁су', 'ф', 'ле', '▁твор', 'о', 'жно'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];суфле творожно
['▁М', 'ОР', 'СЫ', '▁0', '.', '▁32', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME'];МОРСЫ 0. 32л
['▁60', '▁ме'];['B-VOLUME', 'B-TYPE'];▁ 60 ▁ ме
['▁сыр', '▁крас', 'ная', '▁эд', 'ам'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND'];сыр красная эдам
['▁мини', 'рал', 'к', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];миниралкка
['▁уход', '▁за', '▁собой', '▁56', '▁л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];уход за собой 56 л
['▁тест', 'о', '▁фил', 'о'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];тесто фило
['▁м', 'ю', 'ч', 'ли'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];мючли
['▁спортивно', 'е', '▁пита', 'ние', '▁искать', '▁60', '2', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];спортивное питание искать 602г
['▁ле', 'ден', 'цы', '▁100', 'Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];леденцы 100Г
['▁m', '&', 'm', '’', 's'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];m&m’s
['▁шоколад', '▁270', '▁г', '▁она'];['B-TYPE', 'B-VOLUME', 'I-VOLUME', 'O'];шоколад 270 г она
['▁оно', '▁кот', 'лет', 'ы', '▁450', '▁г'];['O', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];оно котлеты 450 г
['▁каб', 'а', 'чу'];['B-TYPE', 'I-TYPE', 'I-TYPE'];кабачу
['▁', 'спри', 'аль'];['B-TYPE', 'I-TYPE', 'I-TYPE'];сприаль
['▁кру', 'ос', 'сан', 'ы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];круоссаны
['▁апел', 'син', 'овый'];['B-TYPE', 'I-TYPE', 'I-TYPE'];апелсиновый
['▁мор', 'сы', '▁1', '▁Л'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];морсы 1 Л
['▁для', '▁собак', '▁10', '▁г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];для собак 10 г
['▁мя', 'с', 'ная', '▁на', 'рез', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];мясная нарезка
['▁овощ', 'и', '▁1', 'У', 'п', '▁их'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'O'];овощи 1Уп их
['▁бол', 'очки'];['B-TYPE', 'I-TYPE'];болочки
['▁кот', 'лет', 'ы', '▁из', '▁', 'инде', 'йки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];котлеты из индейки
['▁фа', 'соль', '▁круп'];['B-TYPE', 'I-TYPE', 'B-TYPE'];фасоль круп
['▁привет', '▁вод', 'к'];['B-BRAND', 'B-TYPE', 'I-TYPE'];привет водк
['▁dr', 'q', 'zh', 'e', '▁за', 'казать', '▁250', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'B-VOLUME', 'I-VOLUME'];drqzhe заказать 250 г
['▁фр', 'у', 'ьо'];['B-TYPE', 'I-TYPE', 'I-TYPE'];фруьо
['▁БЕЗ', '▁', 'ЛА', 'КТ', 'ОЗ', 'Ы', '▁400', 'Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];БЕЗ ЛАКТОЗЫ 400Г
['▁скоро', 'вар'];['B-TYPE', 'I-TYPE'];скоровар
['▁вода', '▁минерал', 'ьной'];['B-TYPE', 'B-TYPE', 'I-TYPE'];вода минеральной
['▁если', '▁Се', 'ме', 'чки', '▁200', '▁г'];['O', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];если Семечки 200 г
['▁пер', 'фик', 'т', '▁с', '▁', 'инде', 'й', 'кой'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O'];перфикт с индейкой
['▁плав', 'ки', '▁low'];['B-TYPE', 'I-TYPE', 'B-BRAND'];плавки low
['▁се', 'шки', '▁для', '▁', 'мус', 'ара'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];сешки для мусара
['▁', 'тир', 'ья', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];тирьяки
['▁док', 'тр', 'ская'];['B-TYPE', 'I-TYPE', 'I-TYPE'];доктрская
['▁раз', 'рах', 'ли', 'тель'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];разрахлитель
['▁о', 'мат', 'на', 'ч'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];оматнач
['▁сал', 'ями'];['B-TYPE', 'I-TYPE'];салями
['▁оде', 'жда', '▁80', '▁М', 'Л'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];одежда 80 МЛ
['▁п', 'шен', 'т', 'чная'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];пшентчная
['▁сне', 'к', '▁из', '▁', 'бек', 'она'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];снек из бекона
['▁спец', 'ии', '▁150', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];специи 150г
['▁мор', 'ожен', 'ное', '▁в', '▁стакан'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O'];мороженное в стакан
['▁в', 'аф', 'л'];['B-TYPE', 'I-TYPE', 'I-TYPE'];вафл
['▁энерг', 'ен', 'тик'];['B-TYPE', 'I-TYPE', 'I-TYPE'];энергентик
['▁гре', 'щ', 'п', 'ф', 'рут'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];грещпфрут
['▁масло', '▁500', '▁ml', '▁ну'];['B-TYPE', 'B-VOLUME', 'I-VOLUME', 'O'];масло 500 ml ну
['▁вы', 'пе', 'чка', '▁сл', '▁смо', 'роди', 'ной'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];выпечка сл смородиной
['▁масло', '▁Х', 'ОР', '▁82'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'B-PERCENT'];▁масло ▁ХОР ▁82
['▁ап', 'ешь', 'си', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];апешьсины
['▁хлеб', '▁то', 'ст', 'овый'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];хлеб тостовый
['▁как', 'ао', '▁900', '▁g'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];какао 900 g
['▁тр', 'я', 'п', 'ки', '▁для', '▁пыл', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O'];тряпки для пыли
['▁стек', 'лом', 'ой'];['B-TYPE', 'I-TYPE', 'I-TYPE'];стекломой
['▁лок', 'ола', 'дка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];локоладка
['▁о', 'ом', 'тик'];['B-TYPE', 'I-TYPE', 'I-TYPE'];оомтик
['▁фо', 'ль', 'га'];['B-TYPE', 'I-TYPE', 'I-TYPE'];фольга
['▁тор', 'ты', '▁400', 'Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];торты 400Г
['▁кур', 'и', 'нная'];['B-TYPE', 'I-TYPE', 'I-TYPE'];куринная
['▁круп', 'ы', '▁4', 'r', '0', 'g'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'I-VOLUME'];крупы 4r0g
['▁твор', 'ож', 'ный', '▁десерт', '▁чудо'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'B-BRAND'];творожный десерт чудо
['▁', 'инде', 'йка', '▁мя', 'с', 'ная', '▁ферм', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'B-BRAND', 'I-BRAND'];индейка мясная ферма
['▁комби', 'не', 'зон', '▁', 'срочно'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O'];комбинезон срочно
['▁з', 'ель'];['B-TYPE', 'I-TYPE'];зель
['▁', 'мягк', 'ий', '▁сыр'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE'];мягкий сыр
['▁рас', 'продаж', 'а', '▁па', 'сты', '▁70%'];['O', 'O', 'O', 'B-TYPE', 'I-TYPE', 'B-PERCENT'];распродажа пасты 70%
['▁энерг', 'ети', 'а'];['B-TYPE', 'I-TYPE', 'I-TYPE'];энергетиа
['▁го', 'й', 'я'];['B-BRAND', 'I-BRAND', 'I-BRAND'];гойя
['▁сне', 'ка'];['B-TYPE', 'I-TYPE'];снека
['▁', 'ИГ', 'РУ', 'Ш', 'КИ', '▁1', 'шт'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];ИГРУШКИ 1шт
['▁хлеб', '▁зла', 'ки', '▁', 'зер', 'на'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'O', 'O', 'O'];хлеб злаки зерна
['▁вет', 'чина', '▁из', '▁сви', 'ни', 'ны'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];ветчина из свинины
['▁вкус', '▁200', 'г'];['B-TYPE', 'B-VOLUME', 'I-VOLUME'];вкус 200г
['▁газ', '▁л'];['B-TYPE', 'B-VOLUME'];▁газ ▁ л
['▁со', 'о', 'ян', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сооянк
['▁шок', 'оо', 'ал'];['B-TYPE', 'I-TYPE', 'I-TYPE'];шокооал
['▁осве', 'жы', 'тель'];['B-TYPE', 'I-TYPE', 'I-TYPE'];освежытель
['▁корм', '▁д', 'лч', '▁ко', 'ще', 'к'];['B-TYPE', 'O', 'O', 'O', 'O', 'O'];корм длч кощек
['▁бул', 'гу', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE'];булгуг
['▁Сме', 'та', '▁можно', '▁10'];['B-TYPE', 'I-TYPE', 'O', 'B-PERCENT'];▁ Смета можно ▁10
['▁су', 'ше', 'ный'];['B-TYPE', 'I-TYPE', 'I-TYPE'];сушеный
['▁хал', 'а'];['B-TYPE', 'I-TYPE'];хала
['▁основные', '▁блюд', 'а', '▁300', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];основные блюда 300 Г
['▁укр', 'то', 'фе', 'ль'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];укртофель
['▁вода', '▁КРА', 'С', '▁6'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'B-VOLUME'];▁вода ▁ КРАС ▁6
['▁', 'пель', 'мени', '▁с', '▁го', 'вя', 'ди', 'ной'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O', 'O'];пельмени с говядиной
['▁чай', '▁пак'];['B-TYPE', 'B-TYPE'];чай пак
['▁мор', 'ков', 'сь'];['B-TYPE', 'I-TYPE', 'I-TYPE'];морковсь
['▁кол', 'б', 'с', 'ные', 'из', 'де', 'ия'];['O', 'O', 'O', 'O', 'O', 'O', 'O'];колбсныеиздеия
['▁чист', 'ящие', '▁средства'];['B-TYPE', 'I-TYPE', 'B-TYPE'];чистящие средства
['▁пор', 'н', 'вей', 'ны'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];порнвейны
['▁г', 'ольф', 'ы', '▁im', 'magi'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];гольфы immagi
['▁кап', 'сул', 'ьный'];['B-TYPE', 'I-TYPE', 'I-TYPE'];капсульный
['▁ту', 'нце'];['B-TYPE', 'I-TYPE'];тунце
['▁анан', 'ас', 'овы'];['B-TYPE', 'I-TYPE', 'I-TYPE'];ананасовы
['▁cur', 'tis'];['B-BRAND', 'I-BRAND'];curtis
['▁десерт', '▁твор', 'ож', 'ный'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];десерт творожный
['▁', 'вок', '▁по', '▁азиат', 'ски'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O'];вок по азиатски
['▁За', 'лить', '▁К', 'ип', 'ят', 'ком', '▁31', 'г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Залить Кипятком 31г
['▁ostrov', '▁то', 'рт'];['B-BRAND', 'B-TYPE', 'I-TYPE'];ostrov торт
['▁hall', 's'];['B-BRAND', 'I-BRAND'];halls
['▁и', 'кра', '▁из', '▁ко'];['B-TYPE', 'I-TYPE', 'O', 'O'];икра из ко
['▁230', '▁Г', '▁Кот', 'лет', 'ы'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE', 'I-TYPE'];230 Г Котлеты
['▁мар', 'ме', 'о', 'ад'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];мармеоад
['▁и', 'кра', '▁бак', 'ла', 'жан', 'овая'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];икра баклажановая
['▁ви', 'шни', '▁вкус', '&', 'поль', 'за'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];вишни вкус&польза
['▁набор', '▁конф', 'ет', 'ны'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];набор конфетны
['▁влажн', 'ые', '▁сал', 'фет', 'ки', '▁де'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'O'];влажные салфетки де
['▁как', 'т', 'эль'];['B-TYPE', 'I-TYPE', 'I-TYPE'];кактэль
['▁х', 'х', 'лоп', 'ья'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];ххлопья
['▁масло', '▁совсем', '▁70', '▁%'];['B-TYPE', 'O', 'B-PERCENT', 'I-PERCENT'];масло совсем 70 %
['▁кос', 'ичка', '▁с', '▁картоф', 'е', 'лем'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];косичка с картофелем
['▁но', 'ри'];['B-TYPE', 'I-TYPE'];нори
['▁фа', 'гот', 'т'];['B-TYPE', 'I-TYPE', 'I-TYPE'];фаготт
['▁яр', 'мол', 'про', 'д'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];ярмолпрод
['▁Фар', 'ш', '▁e', '80', '▁г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];Фарш e80 г
['▁сти', 'рка', '▁20', 'Ш', 'Т'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];стирка 20ШТ
['▁по', 'гр', 'е', 'муш', 'к'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];погремушк
['▁ve', 'et', '▁во', 'ск'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];veet воск
['▁', 'соль', '▁найти', '▁100', '▁g'];['B-TYPE', 'I-TYPE', 'O', 'B-VOLUME', 'I-VOLUME'];соль найти 100 g
['▁сказ', 'ка'];['B-TYPE', 'I-TYPE'];сказка
['▁се', 'гд', 'ви', 'ч'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];сегдвич
['▁ку', 'ско', 'вой', '▁ми', 'стра'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];кусковой мистра
['▁сахар', 'е', 'ый'];['B-TYPE', 'I-TYPE', 'I-TYPE'];сахареый
['▁po', 'lar'];['B-BRAND', 'I-BRAND'];polar
['▁му', 'сор', 'ный', '▁ме', 'шок'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];мусорный мешок
['▁ри', 'ч', '▁с', '▁лимон', 'ом'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O'];рич с лимоном
['▁то', 'рт', '▁в', 'аф', 'ель'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];торт вафель
['▁ТВ', 'ОР', 'ОГ', '▁0', '.', '▁1%', '▁это'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT', 'I-PERCENT', 'I-PERCENT', 'O'];ТВОРОГ 0. 1% это
['▁пече', 'нь', 'е', '▁с', 'доб', 'ное', '▁с', '▁в', 'арен'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'O', 'O', 'O'];печенье сдобное с варен
['▁сум', 'ки', '▁dis', 'ne'];['B-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];сумки disne
['▁450', 'Г', '▁фар', 'ш'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];450Г фарш
['▁кр', 'фи', 'р'];['B-TYPE', 'I-TYPE', 'I-TYPE'];крфир
['▁', 'ог', 'кур', 'цы'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];огкурцы
['▁сахар', 'ш'];['B-TYPE', 'I-TYPE'];сахарш
['▁рас', 'соль', 'н'];['B-TYPE', 'I-TYPE', 'I-TYPE'];рассольн
['▁82', '▁масло'];['B-PERCENT', 'B-TYPE'];▁82 ▁масло
['▁фр', 'ук', 'ты', '▁W', '00', 'Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];фрукты W00Г
['▁на', 'вол', 'очек', '▁jardin'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND'];наволочек jardin
['▁каш', 'а', '▁', 'льня', 'ная'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];каша льняная
['▁хочу', '▁салат', 'ы', '▁210', 'Г'];['O', 'B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];хочу салаты 210Г
['▁май', 'о', 'нез', '▁20%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT'];майонез 20%
['▁со', 'ус', '▁на', '▁пи', 'ц', 'цу'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];соус на пиццу
['▁эне', 'р', 'ше', 'тик'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];энершетик
['▁Й', '▁v', 'mus', '▁1'];['B-TYPE', 'B-BRAND', 'I-BRAND', 'B-VOLUME'];▁ Й ▁ vmus ▁1
['▁с', '▁гар', 'ни', 'рам'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];с гарнирам
['▁она', '▁У', 'ход', '▁За', '▁Со', 'бой', '▁80', '▁М', 'Л'];['O', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];она Уход За Собой 80 МЛ
['▁500', '▁Г', '▁ТЕ', 'СТО'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];500 Г ТЕСТО
['▁салат', '▁с', '▁', 'каль', 'мар', 'ами'];['B-TYPE', 'O', 'O', 'O', 'O', 'O'];салат с кальмарами
['▁кас', 'ета'];['B-TYPE', 'I-TYPE'];касета
['▁', 'пель'];['B-TYPE', 'I-TYPE'];пель
['▁кур', 'ица', '▁сахар', 'ный', '▁пес', 'ок'];['B-TYPE', 'I-TYPE', 'O', 'O', 'O', 'O'];курица сахарный песок
['▁под', 'гуз', 'ники', '▁mer', 'ries'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND'];подгузники merries
['▁mini', 's'];['B-BRAND', 'I-BRAND'];minis
['▁П', 'Е', 'ЛЬ', 'М', 'ЕНИ', '▁500', 'г', '▁стоимость'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'O'];ПЕЛЬМЕНИ 500г стоимость
['▁газ', 'ированные'];['B-TYPE', 'I-TYPE'];газированные
['▁В', 'кус', '▁160', '▁г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Вкус 160 г
"['▁la', 'y', ""'"", 's']";['B-BRAND', 'I-BRAND', 'I-BRAND', 'I-BRAND'];lay's
['▁ч', 'леб'];['B-TYPE', 'I-TYPE'];члеб
['▁кре', 'ве', 'и', 'тки'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];кревеитки
['▁че', 'сно', 'т'];['B-TYPE', 'I-TYPE', 'I-TYPE'];чеснот
['▁пере', 'ку', 'сы', '▁200', 'ml'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];перекусы 200ml
['▁мали', 'ка', '▁то'];['B-BRAND', 'I-BRAND', 'B-TYPE'];малика то
['▁сыр', '▁со', 'ле', 'ный'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];сыр соленый
['▁вода', '▁свято', 'й'];['B-TYPE', 'B-BRAND', 'I-BRAND'];вода святой
['▁со', 'че', 'ник'];['B-TYPE', 'I-TYPE', 'I-TYPE'];соченик
['▁Фар', 'ш', '▁440', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Фарш 440г
['▁Фар', 'ш', '▁700', 'Г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];Фарш 700Г
['▁сок', '▁hipp'];['B-TYPE', 'B-BRAND'];сок hipp
['▁кор', 'то', 'фе', 'лт'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];кортофелт
['▁мини', '▁мо', 'ца', 'рел', 'ла'];['B-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];мини моцарелла
['▁q', '10', 'Г', '▁салат', 'ы'];['B-VOLUME', 'I-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];q10Г салаты
['▁мар', 'ме', 'лад', '▁16%'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-PERCENT'];мармелад 16%
['▁за', 'лить', '▁кип', 'ят', 'ком', '▁25', '▁г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];залить кипятком 25 г
['▁70', '▁%', '▁шоколад'];['B-PERCENT', 'I-PERCENT', 'B-TYPE'];70 % шоколад
['▁шп', 'ика', 'чи'];['B-TYPE', 'I-TYPE', 'I-TYPE'];шпикачи
['▁10', '▁шт', '▁bu', 'maga'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];10 шт bumaga
['▁детски', 'е', '▁напитки', '▁200', '▁g'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];детские напитки 200 g
['▁bur', 'les', 'co', '▁кол', 'го', 'тки'];['B-BRAND', 'I-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE', 'I-TYPE'];burlesco колготки
['▁дро', 'ж', 'жы'];['B-TYPE', 'I-TYPE', 'I-TYPE'];дрожжы
['▁глаз', 'ированные', '▁сыр', 'ки'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE'];глазированные сырки
['▁пя', 'ден', 'ка'];['B-TYPE', 'I-TYPE', 'I-TYPE'];пяденка
['▁ти', 'рия', 'ки'];['B-TYPE', 'I-TYPE', 'I-TYPE'];тирияки
['▁160', '▁Г', '▁ком', 'бо'];['B-VOLUME', 'I-VOLUME', 'B-TYPE', 'I-TYPE'];160 Г комбо
['▁конф', 'ет', 'вы'];['B-TYPE', 'I-TYPE', 'I-TYPE'];конфетвы
['▁У', 'ход', '▁За', '▁Со', 'бой', '▁250', '▁М', 'Л'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];Уход За Собой 250 МЛ
['▁л', 'эт', 'у', 'аль', '▁в', '▁пят', 'ёр', 'о', 'чке', '▁1', '▁Ш', 'Т'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME', 'I-VOLUME'];лэтуаль в пятёрочке 1 ШТ
['▁ре', 'лиш'];['B-TYPE', 'I-TYPE'];релиш
['▁туш', 'ена'];['B-TYPE', 'I-TYPE'];тушена
['▁уход', '▁за', '▁', 'поло', 'стью', '▁р', 'та', '▁60', '▁Г'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];уход за полостью рта 60 Г
['▁', 'ом', 'ид', 'оры'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE'];омидоры
['▁семе', 'чки', '▁200', 'г'];['B-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];семечки 200г
['▁fresh', '▁bar'];['B-BRAND', 'B-BRAND'];fresh bar
['▁bez', '▁g', 'lju', 'tena', '▁230', '▁мл'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'I-TYPE', 'B-VOLUME', 'I-VOLUME'];bez gljutena 230 мл
['▁му', 'ка', '▁б', 'лин', 'н'];['B-TYPE', 'I-TYPE', 'B-TYPE', 'I-TYPE', 'I-TYPE'];мука блинн
['▁из', '▁печ', 'и'];['O', 'O', 'O'];из печи
['▁кол', 'ба', 'ски', '▁che', 'rki', 'zo'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];колбаски cherkizo
['▁е', 'мк', '▁кап', 'уста'];['B-BRAND', 'I-BRAND', 'B-TYPE', 'I-TYPE'];емк капуста
['▁кол', 'бас', 'ок', '▁о', 'кра', 'и'];['B-TYPE', 'I-TYPE', 'I-TYPE', 'B-BRAND', 'I-BRAND', 'I-BRAND'];колбасок окраи
